"","lib1_tag_ACACAC","lib1_tag_ACAGCA","lib1_tag_ACATGT","lib1_tag_ACGACG","lib1_tag_ACTAGC","lib1_tag_ACTCTG","lib1_tag_ACTGAT","lib1_tag_ATATCG","lib1_tag_ATCAGT","lib1_tag_ATGATA","lib1_tag_CACGAT","lib1_tag_CGACGC","lib1_tag_CTCGCA","lib1_tag_CTGCGT","lib1_tag_GATGAC","lib1_tag_GCAGTG","lib1_tag_GCGAGT","lib1_tag_GCGCTC","lib1_tag_GCGTAG","lib1_tag_GTCTCT","lib1_tag_TACGTG","lib1_tag_TCGCAT","lib1_tag_TCGTCA","lib1_tag_TCTGCG","lib1_tag_TGTATG","lib2_tag_ACACAC","lib2_tag_ACAGCA","lib2_tag_ACATGT","lib2_tag_ACGACG","lib2_tag_ACTAGC","lib2_tag_ACTCTG","lib2_tag_ACTGAT","lib2_tag_ATATCG","lib2_tag_ATCAGT","lib2_tag_ATGATA","lib2_tag_CACGAT","lib2_tag_CGACGC","lib2_tag_CTCGCA","lib2_tag_CTGCGT","lib2_tag_GATGAC","lib2_tag_GCAGTG","lib2_tag_GCGAGT","lib2_tag_GCGCTC","lib2_tag_GCGTAG","lib2_tag_GTCTCT","lib2_tag_TACGTG","lib2_tag_TCGCAT","lib2_tag_TCGTCA","lib2_tag_TCTGCG","lib2_tag_TGTATG","lib3_tag_ACACAC","lib3_tag_ACAGCA","lib3_tag_ACATGT","lib3_tag_ACGACG","lib3_tag_ACTAGC","lib3_tag_ACTCTG","lib3_tag_ACTGAT","lib3_tag_ATATCG","lib3_tag_ATCAGT","lib3_tag_ATGATA","lib3_tag_CACGAT","lib3_tag_CGACGC","lib3_tag_CTCGCA","lib3_tag_CTGCGT","lib3_tag_GATGAC","lib3_tag_GCAGTG","lib3_tag_GCGAGT","lib3_tag_GCGCTC","lib3_tag_GCGTAG","lib3_tag_GTCTCT","lib3_tag_TACGTG","lib3_tag_TCGCAT","lib3_tag_TCGTCA","lib3_tag_TCTGCG","lib3_tag_TGTATG"
"chimera",339,465,226,499,140,75,109,190,302,0,112,224,837,157,1382,304,115,160,192,107,0,12,178,0,115,416,489,288,638,185,70,129,250,303,0,153,328,950,231,1451,402,143,204,234,139,0,11,191,0,110,341,448,230,512,181,64,112,216,293,0,141,260,859,210,1304,351,102,183,222,114,0,7,178,0,100
"DUP_1",7635,22262,15670,183,2629,60867,26019,67362,47722,0,129654,29751,31562,28305,15720,61858,11732,24169,61258,21478,0,92471,25793,0,25661,8736,24798,17789,206,3132,71862,28929,75970,52910,0,140785,33642,34113,31570,17707,70754,14094,29134,71855,23999,0,104408,29999,0,29072,8408,25300,17209,203,2918,69162,28287,74048,51794,0,139492,32011,33605,30072,17060,67883,13325,27329,68800,22963,0,101477,29107,0,27683
"DUP_2",369,78,41587,0,0,49571,110447,295,3238,0,1407,4673,1073,163,844,6514,77,349,1399,173790,0,61743,155873,0,138234,431,88,46428,0,0,58767,121600,377,3598,0,1547,5347,1163,192,973,7525,88,399,1620,190730,0,70418,178372,0,154400,398,96,45789,1,0,56565,122048,325,3612,0,1579,5256,1057,171,908,7341,84,374,1483,188525,0,68703,176714,0,151304
"DUP_3",79434,68,9782,28235,48827,1999,68,22091,2032,0,24407,32687,35427,38661,67392,12094,12378,10471,4660,96,0,904,193,0,5714,79223,50,9633,30014,48797,2208,55,21838,2026,0,23909,33219,33841,37851,67182,12262,12919,11053,4723,124,0,863,214,0,5805,88068,47,10703,32193,53162,2374,56,24156,2218,0,26165,35006,36276,41285,72427,13422,13977,11547,5298,118,0,918,225,0,6440
"DUP_4",1811,3388,934,0,0,0,6067,3152,0,86688,10,4337,5674,0,2479,11596,10,2671,11435,1155,95929,0,601,0,2270,1857,3233,937,0,0,0,5978,3124,0,85738,5,4352,5423,0,2491,11556,18,2852,12034,1180,92858,0,591,0,2282,2088,3702,975,0,0,0,6618,3498,0,97279,6,4671,5854,0,2548,12600,17,2883,12841,1307,104199,0,670,0,2497
"DUP_5",2494,7444,7992,12137,9707,18,255,5595,15034,0,1431,18582,1555,2309,4718,10578,11848,7648,11737,206,0,44,329,0,861,2575,7487,8054,12944,9793,12,247,5745,14660,0,1426,18838,1648,2307,4680,10782,12171,8207,12039,211,0,44,371,0,841,2904,8264,8724,13909,10740,11,247,6349,16000,0,1496,19875,1663,2502,4957,11740,13064,8545,12865,223,0,47,373,0,922
"DUP_6",0,0,0,0,8867,2566,5804,8807,0,0,0,0,10395,4964,2174,25365,0,8689,3321,703,0,569,1402,0,1521,0,0,0,0,8742,2608,5643,8609,0,0,0,0,10102,4961,2166,25243,0,9092,3514,643,0,571,1598,0,1612,0,0,0,0,9718,2952,6240,9566,0,0,0,0,10914,5387,2281,27402,0,9525,3799,689,0,589,1692,0,1766
"DUP_7",3153,192,5287,10849,21410,643,62,5697,859,0,4940,4319,2915,8395,3288,489,2238,1605,85,1,0,5,4,0,179,3164,207,5456,11819,21077,720,50,5560,847,0,4752,4337,2874,8264,3385,488,2236,1758,80,1,0,4,4,0,191,3423,192,5993,12434,23078,737,48,6155,922,0,5260,4558,3063,9029,3486,559,2388,1936,77,0,0,10,8,0,214
"DUP_9",0,35959,0,0,0,0,44,0,32266,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,35165,0,0,0,0,54,0,31558,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,39136,0,0,0,0,43,0,34511,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
"DUP_10",1565,9335,6046,0,0,0,1865,1065,0,1,3861,10155,22,0,3054,7868,5958,11,3889,2,0,0,0,0,4,1573,9050,6055,0,0,0,1822,1013,0,0,3892,10412,23,0,2959,7903,6143,5,3949,4,0,0,1,0,11,1718,10125,6524,0,0,0,2066,1147,0,0,4316,10996,33,0,3178,8500,6807,10,4228,1,0,0,1,0,6
